Identifier,BACKGROUND,LINE,GENOTYPE,SEX,RawCoord1,RawCoord2,RawCoord3,RawCoord4,RawCoord5,RawCoord6,RawCoord7,RawCoord8,RawCoord9,RawCoord10,RawCoord11,RawCoord12,RawCoord13,RawCoord14,RawCoord15,RawCoord16,RawCoord17,RawCoord18,Centroid Size,Log Centroid Size
Ore_02513_p_F_00001.jpg,Ore,2513,p,F,677,262,625,386,671,452,525,555,537,576,415,638,1011,548,1111,358,1056,288,819.6465362853,6.708873194
Ore_02513_p_F_00002.jpg,Ore,2513,p,F,668,125,630,242,673,301,542,406,555,426,455,485,974,370,1065,188,1008,126,742.0729224424,6.6094475166
Ore_02513_p_F_00003.jpg,Ore,2513,p,F,777,216,704,326,729,389,590,450,598,472,477,506,1012,526,1147,379,1106,302,739.4413807433,6.6058950102
Ore_02513_p_F_00004.jpg,Ore,2513,p,F,574,229,555,352,600,414,483,529,498,546,393,625,935,450,1011,247,941,192,786.0405700584,6.6670084069
Ore_02513_p_F_00005.jpg,Ore,2513,p,F,675,318,672,458,734,507,633,650,652,668,556,767,1080,485,1123,264,1042,212,824.276652587,6.714506217
Ore_02513_p_F_00006.jpg,Ore,2513,p,F,439,402,509,497,587,501,589,676,616,674,598,800,846,281,744,91,649,105,788.7954248233,6.6705070031
Ore_02513_p_F_00007.jpg,Ore,2513,p,F,573,223,573,342,633,397,521,540,544,555,445,648,970,386,1017,173,939,121,807.5376840192,6.6939897215
Ore_02513_p_F_00008.jpg,Ore,2513,p,F,686,201,634,331,679,400,527,506,544,528,413,595,1037,477,1136,288,1074,216,852.4000104281,6.7480559125
Ore_02513_p_F_00009.jpg,Ore,2513,p,F,721,205,683,337,731,398,592,524,607,542,492,620,1083,436,1161,244,1092,180,833.1311754793,6.7251911033
Ore_02513_p_F_00010.jpg,Ore,2513,p,F,665,216,628,335,671,399,543,499,559,518,446,582,988,469,1083,280,1023,212,767.065838113,6.6425726362
Ore_02513_p_M_00001.jpg,Ore,2513,p,M,621,360,579,490,627,541,497,647,509,665,410,724,942,608,1029,423,969,358,756.7687155855,6.6290576791
Ore_02513_p_M_00002.jpg,Ore,2513,p,M,628,227,614,346,660,386,565,502,580,514,503,583,950,408,1007,216,931,163,682.9363074255,6.5264016011
Ore_02513_p_M_00003.jpg,Ore,2513,p,M,611,220,610,345,656,390,582,506,599,517,531,597,966,359,995,165,917,119,700.9468199831,6.5524320211
