Identifier	BACKGROUND	LINE	GENOTYPE	SEX	RawCoord1	RawCoord2	RawCoord3	RawCoord4	RawCoord5	RawCoord6	RawCoord7	RawCoord8	RawCoord9	RawCoord10	RawCoord11	RawCoord12	RawCoord13	RawCoord14	RawCoord15	RawCoord16	RawCoord17	RawCoord18	Centroid Size	Log Centroid Size
Ore_02513_p_F_00001.jpg	Ore	02513	p	F	677.0	262.0	625.0	386.0	671.0	452.0	525.0	555.0	537.0	576.0	415.0	638.0	1011.0	548.0	1111.0	358.0	1056.0	288.0	819.6465362852725	6.708873194017471
Ore_02513_p_F_00002.jpg	Ore	02513	p	F	668.0	125.0	630.0	242.0	673.0	301.0	542.0	406.0	555.0	426.0	455.0	485.0	974.0	370.0	1065.0	188.0	1008.0	126.0	742.0729224424122	6.609447516562668
Ore_02513_p_F_00003.jpg	Ore	02513	p	F	777.0	216.0	704.0	326.0	729.0	389.0	590.0	450.0	598.0	472.0	477.0	506.0	1012.0	526.0	1147.0	379.0	1106.0	302.0	739.4413807432984	6.605895010237179
Ore_02513_p_F_00004.jpg	Ore	02513	p	F	574.0	229.0	555.0	352.0	600.0	414.0	483.0	529.0	498.0	546.0	393.0	625.0	935.0	450.0	1011.0	247.0	941.0	192.0	786.0405700584275	6.667008406947571
Ore_02513_p_F_00005.jpg	Ore	02513	p	F	675.0	318.0	672.0	458.0	734.0	507.0	633.0	650.0	652.0	668.0	556.0	767.0	1080.0	485.0	1123.0	264.0	1042.0	212.0	824.2766525869819	6.714506216991062
Ore_02513_p_F_00006.jpg	Ore	02513	p	F	439.0	402.0	509.0	497.0	587.0	501.0	589.0	676.0	616.0	674.0	598.0	800.0	846.0	281.0	744.0	91.0	649.0	105.0	788.795424823333	6.670507003098345
Ore_02513_p_F_00007.jpg	Ore	02513	p	F	573.0	223.0	573.0	342.0	633.0	397.0	521.0	540.0	544.0	555.0	445.0	648.0	970.0	386.0	1017.0	173.0	939.0	121.0	807.537684019211	6.693989721523968
Ore_02513_p_F_00008.jpg	Ore	02513	p	F	686.0	201.0	634.0	331.0	679.0	400.0	527.0	506.0	544.0	528.0	413.0	595.0	1037.0	477.0	1136.0	288.0	1074.0	216.0	852.4000104280724	6.74805591245824
Ore_02513_p_F_00009.jpg	Ore	02513	p	F	721.0	205.0	683.0	337.0	731.0	398.0	592.0	524.0	607.0	542.0	492.0	620.0	1083.0	436.0	1161.0	244.0	1092.0	180.0	833.1311754793212	6.725191103333794
Ore_02513_p_F_00010.jpg	Ore	02513	p	F	665.0	216.0	628.0	335.0	671.0	399.0	543.0	499.0	559.0	518.0	446.0	582.0	988.0	469.0	1083.0	280.0	1023.0	212.0	767.0658381130006	6.642572636161833
Ore_02513_p_M_00001.jpg	Ore	02513	p	M	621.0	360.0	579.0	490.0	627.0	541.0	497.0	647.0	509.0	665.0	410.0	724.0	942.0	608.0	1029.0	423.0	969.0	358.0	756.7687155854746	6.629057679126203
Ore_02513_p_M_00002.jpg	Ore	02513	p	M	628.0	227.0	614.0	346.0	660.0	386.0	565.0	502.0	580.0	514.0	503.0	583.0	950.0	408.0	1007.0	216.0	931.0	163.0	682.9363074255168	6.5264016010869454
Ore_02513_p_M_00003.jpg	Ore	02513	p	M	611.0	220.0	610.0	345.0	656.0	390.0	582.0	506.0	599.0	517.0	531.0	597.0	966.0	359.0	995.0	165.0	917.0	119.0	700.9468199831172	6.552432021079976
Ore_02513_p_M_00004.jpg	Ore	02513	p	M	633.0	267.0	588.0	391.0	630.0	445.0	509.0	542.0	523.0	560.0	424.0	620.0	935.0	513.0	1025.0	339.0	964.0	273.0	727.2570995795702	6.589280059554639
Ore_02513_p_M_00005.jpg	Ore	02513	p	M	614.0	271.0	618.0	387.0	667.0	417.0	591.0	540.0	610.0	550.0	539.0	632.0	950.0	387.0	976.0	198.0	899.0	161.0	668.6969085883047	6.505330906031906
Ore_02513_p_M_00006.jpg	Ore	02513	p	M	805.0	166.0	727.0	263.0	748.0	326.0	600.0	370.0	603.0	392.0	491.0	409.0	991.0	503.0	1137.0	375.0	1108.0	288.0	708.802589661685	6.563577052870095
Ore_02513_p_M_00007.jpg	Ore	02513	p	M	691.0	272.0	651.0	388.0	687.0	437.0	566.0	530.0	578.0	545.0	487.0	598.0	980.0	516.0	1073.0	343.0	1010.0	276.0	700.9842287019651	6.552485388496144
Ore_02513_p_M_00008.jpg	Ore	02513	p	M	614.0	191.0	608.0	314.0	658.0	360.0	570.0	483.0	588.0	495.0	506.0	580.0	965.0	353.0	1008.0	157.0	938.0	108.0	718.7213955660736	6.577473793846331
Ore_02513_p_M_00009.jpg	Ore	02513	p	M	576.0	233.0	609.0	344.0	666.0	361.0	627.0	493.0	648.0	498.0	603.0	597.0	928.0	258.0	905.0	76.0	823.0	58.0	656.2177822779398	6.486492719028989
Ore_02513_p_M_00010.jpg	Ore	02513	p	M	527.0	278.0	542.0	397.0	599.0	422.0	529.0	554.0	546.0	563.0	483.0	651.0	881.0	374.0	892.0	180.0	810.0	147.0	679.4834639472676	6.521332897676639
Ore_02513_w_F_00001.jpg	Ore	02513	w	F	784.0	213.0	664.0	281.0	663.0	358.0	482.0	346.0	482.0	373.0	351.0	345.0	878.0	636.0	1078.0	556.0	1079.0	464.0	826.7428728315581	6.717493731119038
Ore_02513_w_F_00002.jpg	Ore	02513	w	F	573.0	308.0	607.0	433.0	677.0	460.0	621.0	621.0	644.0	629.0	579.0	754.0	995.0	337.0	978.0	122.0	891.0	98.0	807.2200581144043	6.693596317732656
Ore_02513_w_F_00003.jpg	Ore	02513	w	F	783.0	260.0	693.0	357.0	712.0	424.0	553.0	460.0	557.0	483.0	437.0	494.0	962.0	620.0	1127.0	492.0	1099.0	407.0	752.4017839189673	6.623270468395579
Ore_02513_w_F_00004.jpg	Ore	02513	w	F	778.0	166.0	705.0	270.0	733.0	341.0	572.0	399.0	580.0	424.0	443.0	451.0	1027.0	509.0	1177.0	358.0	1136.0	272.0	798.6140772891775	6.682877821933285
Ore_02513_w_F_00005.jpg	Ore	02513	w	F	715.0	278.0	681.0	403.0	725.0	472.0	583.0	588.0	597.0	608.0	481.0	679.0	1080.0	523.0	1165.0	333.0	1103.0	269.0	836.2330881864085	6.728907387843513
Ore_02513_w_F_00006.jpg	Ore	02513	w	F	545.0	273.0	606.0	379.0	682.0	383.0	663.0	550.0	687.0	551.0	657.0	672.0	942.0	205.0	873.0	13.0	794.0	10.0	756.39157995196	6.628559204982471
