stock,gene,allele,full name
2513,aos,W11,argos
3045,omb,md653,optomotor blind
5404,sax*,sax4,saxophone
6342,cv-2,225-3,crossveinless-2
6372,GAP1,mip-w[+],GTPase activating protein 1
10212,ksr,J5E2,kinase suppressor of ras
10305,dad,J1E4,Daughters against Dpp
10372,drk,k02401,downstream receptor kinases
10385,egfr,k05115,Epidermal growth factor Receptor
10413,bs/DSRF,k07909,blistered
10418,s ,k09530,Star
10462,spi,s3547,spitz
10474,mad,k00237,Mothers against Dpp
10478,shn,k00401,schnurri
10490,ed,k01102,echinoid
10514,ptc,k02507,patched
10842,tsh,A3-2-66,teashirt
10911,sd,E3,scalloped
11156,cos,k16101,costal-2
11191,tkv,k19713,thickveins
11207,babo,k16912,baboon
11843,csw,G0170,corkscrew
12088,trl,S2325,Trithorax-like
12413,rho-AP,BG00314,rhoAP
12752,pka-C1,BG02142,cAMP-dependent protein kinase 1
12772,sbb,BG01610,scribbler
12862,mam,BG02477,mastermind
12916,psq,kg00811,pipsqueak
12945,osa,kg03117,osa
13311,rasGAP,kg02382,Ras GTPase-activating protein
13535,pnt,kg04968,pointed
13751,src42A,kg02515,Src42A
13943,drk,kg03077,downstream receptor kinases
13944,cbl,kg03080,cable
14189,mam,kg02641,mastermind
14208,rho-6,kg05638,rhomboid-6
14268,dpp,kg04600,decapentaplegic
14321,rho/stet,kg07115,rhomboid-2
14345,pka-C3,kg00222,cAMP-dependent protein kinase 3
14364,p38b,kg01337,p38b
14403,tkv,kg01923,thickveins
14541,wmd,kg07581,CG3957
14578,mad,kg00581,Mothers against Dpp
14638,ast,kg07563,asteroid
14694,dpp,kg08191,decapentaplegic
14901,rho1,kg01774,rho kinase
14920,sax,kg07525,saxophone
14953,brk,kg08470,brinker
14986,rho-6,kg09603,rhomboid-6
15028,RAS85D,EY00505,RAS85D
